,day,date,admits_hospitalized,admits_icu,admits_ventilated
0,-47,2020-02-21,,,
1,-46,2020-02-22,0.3059261876082413,0.09177785628247248,0.061185237521648284
2,-45,2020-02-23,0.3776620843199132,0.11329862529597395,0.07553241686398265
3,-44,2020-02-24,0.46621733417625744,0.1398652002528772,0.09324346683525148
4,-43,2020-02-25,0.5755344828079294,0.1726603448423788,0.11510689656158585
5,-42,2020-02-26,0.7104797284448652,0.2131439185334595,0.142095945688973
6,-41,2020-02-27,0.877059051079383,0.2631177153238149,0.1754118102158767
7,-40,2020-02-28,1.0826847769616927,0.32480543308850773,0.21653695539233853
8,-39,2020-02-29,1.336504275721282,0.40095128271638436,0.26730085514425617
9,-38,2020-03-01,1.649805162405234,0.4949415487215707,0.32996103248104713
10,-37,2020-03-02,2.036514643440455,0.6109543930321362,0.4073029286880907
11,-36,2020-03-03,2.5138146241633113,0.754144387248993,0.5027629248326622
12,-35,2020-03-04,3.102899024861623,0.9308697074584873,0.620579804972325
13,-34,2020-03-05,3.8299055888870797,1.1489716766661235,0.7659811177774163
14,-33,2020-03-06,4.727061481533273,1.4181184444599806,0.9454122963066531
15,-32,2020-03-07,5.8340903498521826,1.7502271049556555,1.1668180699704367
16,-31,2020-03-08,7.199938410251921,2.159981523075574,1.4399876820503836
17,-30,2020-03-09,8.884888684669768,2.6654666054009315,1.7769777369339534
18,-29,2020-03-10,10.963145765648484,3.2889437296945445,2.1926291531296975
19,-28,2020-03-11,13.525988343480975,4.05779650304429,2.7051976686961936
20,-27,2020-03-12,16.685602779738304,5.005680833921495,3.3371205559476635
21,-26,2020-03-13,20.579727393054142,6.173918217916242,4.115945478610826
22,-25,2020-03-14,25.377252203429364,7.613175661028812,5.07545044068587
23,-24,2020-03-15,31.284929828735955,9.385478948620786,6.2569859657471945
24,-23,2020-03-16,38.55535536616907,11.566606609850709,7.711071073233811
25,-22,2020-03-17,47.49635897541049,14.248907692623142,9.499271795082095
26,-21,2020-03-18,58.48191298799193,17.544573896397594,11.696382597598387
27,-20,2020-03-19,71.96456833552531,21.589370500657594,14.39291366710507
28,-19,2020-03-20,88.48927743296821,26.54678322989045,17.69785548659364
29,-18,2020-03-21,108.70819604937753,32.612458814813266,21.741639209875515
30,-17,2020-03-22,61.361992194121626,18.408597658236488,12.272398438824325
31,-16,2020-03-23,65.3736510290471,19.61209530871409,13.074730205809402
32,-15,2020-03-24,69.62488729325287,20.88746618797589,13.924977458650574
33,-14,2020-03-25,74.12685176632624,22.23805552989785,14.825370353265242
34,-13,2020-03-26,78.89076409723361,23.66722922917009,15.778152819446746
35,-12,2020-03-27,83.9278374359435,25.17835123078305,16.7855674871887
36,-11,2020-03-28,89.2491907699125,26.774757230973762,17.84983815398249
37,-10,2020-03-29,94.86574792453212,28.459724377359635,18.97314958490645
38,-9,2020-03-30,100.78812221940234,30.23643666582069,20.157624443880422
39,-8,2020-03-31,107.0264858378548,32.10794575135645,21.40529716757095
40,-7,2020-04-01,113.59042307225013,34.077126921675074,22.71808461445005
41,-6,2020-04-02,120.48876675965084,36.14663002789524,24.09775335193018
42,-5,2020-04-03,127.7294174292224,38.31882522876663,25.545883485844456
43,-4,2020-04-04,135.31914495194428,40.595743485583284,27.0638289903888
44,-3,2020-04-05,143.26337282268605,42.97901184680586,28.65267456453728
