,day,date,susceptible,infected,recovered
0,-47,2020-02-21,5026092.666666667,133.33333333333334,0.0
1,-46,2020-02-22,5026051.876508319,164.59968215728935,9.523809523809524
2,-45,2020-02-23,5026001.521563742,203.1975065791857,21.280929677901614
3,-44,2020-02-24,5025939.359252519,250.8457101898877,35.79503729070059
4,-43,2020-02-25,5025862.621321478,309.66609050309586,53.71258801854971
5,-42,2020-02-26,5025767.890691019,382.2777144979043,75.83159448305656
6,-41,2020-02-27,5025650.949484209,471.9133702729241,103.13714551862118
7,-40,2020-02-28,5025506.591513947,582.5632426578456,136.84524339525862
8,-39,2020-02-29,5025328.39094385,719.1521525641704,178.45690358510473
9,-38,2020-03-01,5025108.416922197,887.758163320761,229.82491448254547
10,-37,2020-03-02,5024836.881636404,1095.8821517327672,293.2362118625998
11,-36,2020-03-03,5024501.706353183,1352.7801384022014,371.5135084149403
12,-35,2020-03-04,5024087.986483201,1669.872855640737,468.1406611579547
13,-34,2020-03-05,5023577.332404682,2061.2503016132478,587.4172937037215
14,-33,2020-03-06,5022947.057540478,2544.2930014167373,734.6494581046677
15,-32,2020-03-07,5022169.178827165,3140.436500343452,916.3846724915775
16,-31,2020-03-08,5021209.187039131,3876.111395495366,1140.7015653732526
17,-30,2020-03-09,5020024.535214509,4783.898120439761,1417.5666650514931
18,-29,2020-03-10,5018562.782445756,5903.943880590053,1759.2736736543332
19,-28,2020-03-11,5016759.317333291,7285.698715869177,2180.983950839337
20,-27,2020-03-12,5014534.570295992,8990.038702034108,2701.391001972849
21,-26,2020-03-13,5011790.6066435855,11091.856732867462,3343.536623546714
22,-25,2020-03-14,5008406.973016462,13683.21487907227,4135.812104465819
23,-24,2020-03-15,5004235.649039297,16877.166364874764,5113.184595828124
24,-23,2020-03-16,4999094.934990474,20812.36853049196,6318.696479033462
25,-22,2020-03-17,4992762.087127086,25658.618641702033,7805.294231211459
26,-21,2020-03-18,4984964.498728688,31623.448565693667,9638.05270561875
27,-20,2020-03-19,4975369.222950618,38959.9065890713,11896.870460311155
28,-19,2020-03-20,4963570.652626222,47975.62644281911,14679.720930959105
29,-18,2020-03-21,4949076.226486305,59043.22212253475,18106.551391160472
30,-17,2020-03-22,4940894.627527088,63007.4480729985,22323.92439991295
31,-16,2020-03-23,4932178.140723215,67223.40287165725,26824.45640512713
32,-15,2020-03-24,4922894.822417448,71705.04954373451,31626.128038816933
33,-14,2020-03-25,4913011.242181938,76466.84052612078,36747.91729194082
34,-13,2020-03-26,4902492.473635641,81523.69189198139,42209.834472378025
35,-12,2020-03-27,4891302.095310848,86890.9493673466,48032.95532180527
36,-11,2020-03-28,4879402.203208192,92584.34508661974,54239.45170518715
37,-10,2020-03-29,4866753.436818256,98619.94397037022,60852.61921137429
38,-9,2020-03-30,4853315.020522336,105014.0785541212,67896.9009235436
39,-8,2020-03-31,4839044.822410621,111783.27105482653,75397.90653455224
40,-7,2020-04-01,4823899.432667655,118944.1414367342,83382.42589561129
41,-6,2020-04-02,4807834.263766368,126513.3002353971,91878.43599823516
42,-5,2020-04-03,4790803.674775804,134507.2249234317,100915.1003007635
43,-4,2020-04-04,4772761.122115546,142942.11866058866,110522.7592238658
44,-3,2020-04-05,4753659.33907252,151833.75037071435,120732.91055676495
45,-2,2020-04-06,4733450.546323002,161197.27523661003,131578.17844038745
46,-1,2020-04-07,4712086.695563035,171047.03490824858,143092.26952871677
47,0,2020-04-08,4689519.748132795,181396.33698789912,155309.91487930596
48,1,2020-04-09,4665701.990212612,192257.21369466133,168266.79609272734
49,2,2020-04-10,4640586.385759082,203640.16002714346,181999.45421377456
50,3,2020-04-11,4614126.967828429,215553.85224157156,196545.17992999908
51,4,2020-04-12,4586279.268291957,228004.84804650344,211941.8836615399
52,5,2020-04-13,4557000.7851789165,240997.270584794,228227.9442362902
53,6,2020-04-14,4526251.485982483,254532.47902516997,245442.03499234686
54,7,2020-04-15,4493994.344236752,268608.72941196075,263622.9263512876
55,8,2020-04-16,4460195.905524443,283220.8303091291,282809.2641664276
56,9,2020-04-17,4424826.8778211055,298359.7987046716,303039.32347422256
57,10,2020-04-18,4387862.739744641,314012.5225879455,324350.73766741337
58,11,2020-04-19,4349284.358890662,330161.4375427855,346780.2035665523
59,12,2020-04-20,4309078.611035323,346784.2255736408,370363.16339103703
60,13,2020-04-21,4267238.9896281455,363853.5451541292,395133.46521772566
61,14,2020-04-22,4223766.193737036,381336.8021056578,421123.0041573062
62,15,2020-04-23,4178668.68151249,399195.97132265667,448361.3471648532
63,16,2020-04-24,4131963.175379734,417387.47950379405,476875.3451164715
64,17,2020-04-25,4083675.1046199794,435862.1588704207,506688.73650959966
65,18,2020-04-26,4033838.9708373104,454565.2813052025,537821.7478574868
66,19,2020-04-27,3982498.6220917315,473436.6813861243,570290.6965221441
67,20,2020-04-28,3929707.4222657187,492410.97539884236,604107.6023354387
68,21,2020-04-29,3875528.3035585047,511417.88157756766,639279.8148639274
69,22,2020-04-30,3820033.6918842127,530382.6445677485,675809.6635480395
70,23,2020-05-01,3763305.297375157,549226.5644648223,713694.1381600215
71,24,2020-05-02,3705433.7651183684,567867.6278312656,752924.6070503659
72,25,2020-05-03,3646518.1846082974,586221.2349248177,793486.5804668849
73,26,2020-05-04,3586665.4600773435,604201.0141039989,835359.5258186576
74,27,2020-05-05,3525989.547735949,621719.7111522506,878516.7411118004
75,28,2020-05-06,3464610.569860553,638690.1382310574,922925.2919083898
76,29,2020-05-07,3402653.8194413506,655026.1644908984,968546.016067751
77,30,2020-05-08,3340248.672568221,670643.7281861065,1015333.5992456723
78,31,2020-05-09,3277527.428724348,685461.8485881146,1063236.722687537
79,32,2020-05-10,3214624.10152249,699403.615176536,1112198.283300974
80,33,2020-05-11,3151673.184036273,712397.1315787145,1162155.6843850121
81,34,2020-05-12,3088808.4136633286,724376.3925531794,1213041.1937834918
82,35,2020-05-13,3026161.5613672175,735282.0739526349,1264782.3646801475
83,36,2020-05-14,2963861.269186581,745062.2179937975,1317302.5128196215
84,37,2020-05-15,2902031.958125026,753672.7991986527,1370521.2426763214
85,38,2020-05-16,2840792.8260389194,761078.1599134268,1424355.0140476536
86,39,2020-05-17,2780256.952053204,767251.3081910403,1478717.7397557555
87,40,2020-05-18,2720530.520514401,772174.0748590548,1533521.404626544
88,41,2020-05-19,2661712.1737070964,775837.1306049987,1588676.6956879052
89,42,2020-05-20,2603892.4986908464,778239.8677208918,1644093.6335882621
90,43,2020-05-21,2547153.6498264507,779390.1546052236,1699682.195568326
91,44,2020-05-22,2491569.105004494,779303.9740982355,1755352.9208972706
92,45,2020-05-23,2437203.5503906896,778004.9591335944,1811017.4904757158
93,46,2020-05-24,2384112.8857576814,775523.8409713458,1866589.2732709725
94,47,2020-05-25,2332344.340245031,771897.8264146147,1921983.8333403543
95,48,2020-05-26,2281936.6867093965,767169.920920634,1977119.39236997
96,49,2020-05-27,2232920.5416967184,761388.214438981,2031917.243864301
97,50,2020-05-28,2185318.737462871,754605.1462129012,2086302.116324228
98,51,2020-05-29,2139146.752343248,746876.7637458879,2140202.4839108638
99,52,2020-05-30,2094413.1860643404,738261.9897572323,2193550.824178427
100,53,2020-05-31,2051120.2672312728,728821.9093219261,2246283.823446801
101,54,2020-06-01,2009264.381140022,718619.0876044679,2298342.5312555097
102,55,2020-06-02,1968836.6071774408,707716.9267381586,2349672.4660844
103,56,2020-06-03,1929823.2563162835,696179.0685465903,2400223.675137126
104,57,2020-06-04,1892206.4005229059,684068.8480152119,2449950.7514618826
105,58,2020-06-05,1855964.3872176462,671448.8007479564,2498812.812034398
106,59,2020-06-06,1821072.3332170984,658380.2261236497,2546773.4406592515
107,60,2020-06-07,1787502.5938083155,644922.8065236005,2593800.5996680837
108,61,2020-06-08,1755225.203731664,631134.2818485663,2639866.5144197694
109,62,2020-06-09,1724208.2878643477,617070.1775838422,2684947.53455181
110,63,2020-06-10,1694418.4402908625,602783.5839013386,2729023.9758077986
111,64,2020-06-11,1665821.0712164904,588324.9826970438,2772079.9460864654
112,65,2020-06-12,1638380.7218270935,573742.1190366518,2814103.1591362543
113,66,2020-06-13,1612061.3477285285,559079.9132040273,2855084.7390674436
114,67,2020-06-14,1586826.5720203074,544380.4093976751,2895019.018582017
115,68,2020-06-15,1562639.9093808664,529682.7570801394,2933903.3335389937
116,69,2020-06-16,1539464.9627771024,515023.22103532206,2971737.816187575
117,70,2020-06-17,1517265.5945702114,500435.2163111189,3008525.18911867
118,71,2020-06-18,1496006.0738846224,485949.3644030565,3044270.5617123214
119,72,2020-06-19,1475651.2021477688,471593.56725397764,3078981.230598254
120,73,2020-06-20,1456166.4187055447,457393.09589234635,3112666.4854021096
121,74,2020-06-21,1437517.888380623,443370.6907963858,3145337.420822991
122,75,2020-06-22,1419672.572776341,429546.671343783,3177006.7558798757
123,76,2020-06-23,1402598.2870445615,415939.0519795781,3207688.6609758604
124,77,2020-06-24,1386263.7437377295,402563.66300215444,3237398.593260116
125,78,2020-06-25,1370638.5852582206,389434.2741243667,3266153.1406174125
126,79,2020-06-26,1355693.406306104,376562.719210457,3293969.8744834387
127,80,2020-06-27,1341399.7676129304,363959.02081716934,3320867.2115698997
128,81,2020-06-28,1327730.2021366493,351631.5133779384,3346864.284485412
129,82,2020-06-29,1314658.2147832906,339586.96406144445,3371980.8211552645
130,83,2020-06-30,1302158.2766160413,327830.69051001925,3396237.0328739393
131,84,2020-07-01,1290205.8144128646,316366.6748196231,3419653.510767512
132,85,2020-07-02,1278777.1963405232,305197.6732619915,3442251.130397485
133,86,2020-07-03,1267849.7144261645,294325.32137192215,3464050.964201913
134,87,2020-07-04,1257401.5644276817,283750.23412955337,3485074.2014427646
135,88,2020-07-05,1247411.823630844,273472.1010599944,3505342.075309161
136,89,2020-07-06,1237860.4270345697,263489.77615198336,3524875.7968134466
137,90,2020-07-07,1228728.1423254209,253801.36256456183,3543696.495110017
138,91,2020-07-08,1219996.5439881284,244404.2921472428,3561825.1638646284
139,92,2020-07-09,1211647.9868503364,235295.39984594606,3579282.613303717
140,93,2020-07-10,1203665.5793164028,226470.99310516933,3596089.427578428
141,94,2020-07-11,1196033.1565065887,217926.91640747123,3612265.92708594
142,95,2020-07-12,1188735.253483935,209658.61111530545,3627832.135400759
143,96,2020-07-13,1181757.0787211359,201661.17079844003,3642807.7504804237
144,97,2020-07-14,1175084.487933423,193929.39224340723,3657212.1198231694
145,98,2020-07-15,1168703.9583804917,186457.82235038074,3671064.219269127
146,99,2020-07-16,1162602.5637204957,179240.8011282068,3684382.6351512973
147,100,2020-07-17,1156767.9494817988,172272.50100060325,3697185.549517598
148,101,2020-07-18,1151188.3092032115,165546.96263629026,3709490.728160498
149,102,2020-07-19,1145852.3612805721,159058.12751348017,3721315.5112059475
150,103,2020-07-20,1140749.3265465382,152799.86742512276,3732676.806028339
151,104,2020-07-21,1135868.9066010904,146766.0111259188,3743591.0822729906
152,105,2020-07-22,1131201.2629023404,140950.3683156747,3754074.368781985
153,106,2020-07-23,1126736.9966205657,135346.7511463297,3764142.2522331043
154,107,2020-07-24,1122467.1292528543,129948.99343216045,3773809.877314985
155,108,2020-07-25,1118383.0839911315,124750.96773444339,3783091.9482744257
156,109,2020-07-26,1114476.6678325867,119746.60048338505,3792002.7316840286
157,110,2020-07-27,1110740.0544184675,114929.88529154815,3800556.0602899846
158,111,2020-07-28,1107165.7675847795,110294.89460441122,3808765.3378108093
159,112,2020-07-29,1103746.6656065404,105835.7898251925,3816643.544568267
160,113,2020-07-30,1100475.9261157906,101546.83004271427,3824203.2438414954
161,114,2020-07-31,1097347.0316725154,97422.3794829385,3831456.5888445466
162,115,2020-08-01,1094353.7559669018,93456.91379691381,3838415.330236185
163,116,2020-08-02,1091490.1506309102,89645.02529026859,3845090.8240788216
164,117,2020-08-03,1088750.5326369244,85981.42719209242,3851494.0401709834
165,118,2020-08-04,1086129.4722612144,82460.95705408159,3857635.5706847045
166,119,2020-08-05,1083621.7815900932,79078.57936419695,3863525.63904571
167,120,2020-08-06,1081222.5035469076,75829.38745279696,3869174.109000296
